# RaceRender Data: [TrackAddict 4.4a; Android 9; samsung SM-N960U / Qualcomm Technologies, Inc SDM845] (Mode: 1),,,,,,,,,,,,,,,,,,
# Exported by TrackAddict 4.4a on Android 9,,,,,,,,,,,,,,,,,,,
# http://HPTuners.com,,,,,,,,,,,,,,,,,,,
# Fixed Rate Interpolated Export (20.000 Hz),,,,,,,,,,,,,,,,,,,
# Lap 0: 00:09:11.807,,,,,,,,,,,,,,,,,,,
# Lap 1: 00:00:45.948,,,,,,,,,,,,,,,,,,,
# Lap 2: 00:01:25.705,,,,,,,,,,,,,,,,,,,
Time,UTC Time,Lap,Latitude,Longitude,Altitude (m),Altitude (ft),Speed (MPH),Heading,Accuracy (m),Accel X,Accel Y,Accel Z,Brake (calculated),Barometric Pressure (PSI),Pressure Altitude (ft),,,,
5.5,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
5.55,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
5.6,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
5.65,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
5.7,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
5.75,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
5.8,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
5.85,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
5.9,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
5.95,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.05,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.1,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.15,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.2,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.25,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.3,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.35,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.4,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.45,1571593462,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.5,1571593463,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.55,1571593463,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.6,1571593463,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.65,1571593463,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.7,1571593463,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.75,1571593463,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.8,1571593463,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.85,1571593463,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.9,1571593463,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
6.95,1571593463,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7,1571593463,0,36.12615,-80.2541483,301.1,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.05,1571593463,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.1,1571593463,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.15,1571593463,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.2,1571593463,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.25,1571593463,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.3,1571593463,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.35,1571593463,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.4,1571593463,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.45,1571593463,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.5,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.55,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.6,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.65,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.7,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.75,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.8,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.85,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.9,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
7.95,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.05,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.1,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.15,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.2,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.25,1571593464,0,36.12615,-80.2541483,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.3,1571593464,0,36.12615,-80.2541481,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.35,1571593464,0,36.12615,-80.2541478,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.4,1571593464,0,36.12615,-80.2541475,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.45,1571593464,0,36.12615,-80.2541471,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.5,1571593465,0,36.12615,-80.2541468,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.55,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.6,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.65,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.7,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.75,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.8,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.85,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.9,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
8.95,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.05,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.1,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.15,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.2,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.25,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.3,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.35,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.4,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.45,1571593465,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.5,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.55,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.6,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.65,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.7,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.75,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.8,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.85,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.9,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
9.95,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
10,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
10.05,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
10.1,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
10.15,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1045,,,,
10.2,1571593466,0,36.12615,-80.2541466,301.2,988,0,16.5,2.5,0,0,0,1,14.148,1046,,,,
